@relation arquivo 
 
@attribute id_usuario numeric 
@attribute marcador {DimensaoAmbiental,DimensaoSocial} 
@attribute tipo_marcador numeric 
@attribute ano numeric 
@attribute mes numeric 
@attribute semana numeric 
@attribute dia numeric 
@attribute hora numeric 
@attribute minuto numeric 
@attribute segundo numeric 
@attribute coordenada_x numeric 
@attribute coordenada_y numeric 

@data 
41,DimensaoSocial,49,2013,6,23,4,17,38,51,-49.244205,-16.681376
39,DimensaoAmbiental,20,2013,6,26,28,3,49,9,-49.244889,-16.682716
83,DimensaoAmbiental,19,2013,6,25,19,11,30,32,-49.241691,-16.682764
16,DimensaoAmbiental,7,2013,6,25,22,3,52,45,-49.24395,-16.682158
87,DimensaoSocial,59,2013,6,26,29,7,57,39,-49.240834,-16.682721
87,DimensaoSocial,59,2013,6,22,1,20,14,25,-49.245336,-16.681855
49,DimensaoSocial,50,2013,6,24,15,21,55,22,-49.244873,-16.682514
54,DimensaoAmbiental,15,2013,6,22,2,19,17,14,-49.243711,-16.683169
48,DimensaoSocial,25,2013,6,23,8,15,58,43,-49.243392,-16.68279
8,DimensaoAmbiental,6,2013,6,26,29,3,36,43,-49.241557,-16.683114
23,DimensaoAmbiental,21,2013,6,24,15,10,52,11,-49.244293,-16.681753
72,DimensaoSocial,43,2013,6,25,20,21,3,2,-49.244815,-16.682073
75,DimensaoAmbiental,19,2013,6,23,5,22,14,45,-49.244013,-16.682392
25,DimensaoSocial,51,2013,6,22,1,13,59,55,-49.244601,-16.682927
52,DimensaoAmbiental,6,2013,6,26,28,5,49,23,-49.243055,-16.682006
34,DimensaoAmbiental,15,2013,6,25,21,17,11,10,-49.244601,-16.681475
18,DimensaoAmbiental,17,2013,6,26,26,3,42,46,-49.241244,-16.681498
38,DimensaoSocial,54,2013,6,24,13,11,44,0,-49.241611,-16.682843
33,DimensaoSocial,30,2013,6,23,4,22,24,52,-49.240288,-16.681937
86,DimensaoSocial,34,2013,6,25,23,17,47,28,-49.242341,-16.681766
70,DimensaoAmbiental,14,2013,6,25,19,11,16,26,-49.243218,-16.681556
97,DimensaoAmbiental,8,2013,6,22,1,21,35,2,-49.243352,-16.682144
