@relation arquivo 
 
@attribute id_usuario numeric 
@attribute marcador {DimensaoAmbiental,DimensaoSocial} 
@attribute tipo_marcador numeric 
@attribute ano numeric 
@attribute mes numeric 
@attribute semana numeric 
@attribute dia numeric 
@attribute hora numeric 
@attribute minuto numeric 
@attribute segundo numeric 
@attribute coordenada_x numeric 
@attribute coordenada_y numeric 

@data 
12,DimensaoSocial,45,2013,6,24,14,15,16,31,-49.235715,-16.692639
63,DimensaoSocial,59,2013,6,23,9,15,15,58,-49.235294,-16.692952
39,DimensaoAmbiental,20,2013,6,25,20,23,26,27,-49.23494,-16.693305
27,DimensaoAmbiental,2,2013,6,26,26,23,31,7,-49.234652,-16.692132
64,DimensaoSocial,24,2013,6,23,6,10,42,50,-49.235382,-16.691824
29,DimensaoSocial,31,2013,6,25,21,0,32,9,-49.232945,-16.692306
62,DimensaoSocial,35,2013,6,23,9,0,38,33,-49.23404,-16.692298
41,DimensaoSocial,49,2013,6,26,26,16,4,25,-49.232676,-16.69261
37,DimensaoAmbiental,10,2013,6,23,6,19,11,45,-49.236734,-16.692061
11,DimensaoSocial,40,2013,6,25,20,10,51,27,-49.2326,-16.691952
63,DimensaoSocial,59,2013,6,25,21,15,45,53,-49.235289,-16.692828
69,DimensaoSocial,28,2013,6,26,26,18,48,43,-49.234683,-16.691829
59,DimensaoAmbiental,20,2013,6,23,7,4,18,19,-49.232502,-16.69124
66,DimensaoSocial,34,2013,6,23,5,18,25,25,-49.235039,-16.693328
71,DimensaoSocial,38,2013,6,24,10,14,23,54,-49.236686,-16.692429
84,DimensaoSocial,24,2013,6,26,26,8,26,54,-49.235552,-16.693278
40,DimensaoSocial,25,2013,6,26,28,1,35,6,-49.236573,-16.693549
1,DimensaoAmbiental,11,2013,6,24,16,18,31,19,-49.236844,-16.692682
47,DimensaoSocial,39,2013,6,24,13,5,24,20,-49.234824,-16.692413
7,DimensaoAmbiental,1,2013,6,26,27,8,22,7,-49.236048,-16.691705
25,DimensaoSocial,51,2013,6,24,10,12,55,29,-49.235269,-16.692755
18,DimensaoAmbiental,17,2013,6,25,22,18,5,10,-49.235018,-16.69162
22,DimensaoSocial,56,2013,6,23,8,21,5,32,-49.234202,-16.692813
14,DimensaoSocial,55,2013,6,24,10,17,37,41,-49.236479,-16.69314
42,DimensaoSocial,34,2013,6,23,5,13,58,35,-49.232853,-16.691876
62,DimensaoSocial,35,2013,6,26,25,1,41,45,-49.236119,-16.692238
35,DimensaoSocial,40,2013,6,24,14,5,34,1,-49.235983,-16.69254
3,DimensaoAmbiental,21,2013,6,24,12,23,41,43,-49.233978,-16.692068
49,DimensaoSocial,50,2013,6,23,3,7,21,54,-49.232648,-16.692596
83,DimensaoAmbiental,19,2013,6,22,1,7,47,39,-49.232968,-16.693362
43,DimensaoSocial,59,2013,6,23,5,6,1,9,-49.235387,-16.691974
