@relation arquivo 
 
@attribute id_usuario numeric 
@attribute marcador {DimensaoAmbiental,DimensaoSocial} 
@attribute tipo_marcador numeric 
@attribute ano numeric 
@attribute mes numeric 
@attribute semana numeric 
@attribute dia numeric 
@attribute hora numeric 
@attribute minuto numeric 
@attribute segundo numeric 
@attribute coordenada_x numeric 
@attribute coordenada_y numeric 

@data 
91,DimensaoSocial,39,2013,6,25,18,16,34,13,-49.261395,-16.678884
62,DimensaoSocial,35,2013,6,24,10,9,20,26,-49.261102,-16.67878
63,DimensaoSocial,59,2013,6,25,18,17,56,24,-49.263213,-16.677909
81,DimensaoAmbiental,9,2013,6,24,12,15,40,43,-49.262946,-16.679505
100,DimensaoAmbiental,23,2013,6,25,18,12,17,15,-49.260889,-16.677631
89,DimensaoSocial,29,2013,6,26,26,13,39,18,-49.261768,-16.679287
78,DimensaoSocial,33,2013,6,24,13,13,48,32,-49.262726,-16.67846
46,DimensaoAmbiental,15,2013,6,23,6,8,28,27,-49.2633,-16.678048
37,DimensaoAmbiental,10,2013,6,25,19,23,54,20,-49.261121,-16.677883
2,DimensaoSocial,55,2013,6,25,20,11,21,20,-49.261053,-16.679196
59,DimensaoAmbiental,20,2013,6,26,28,9,46,54,-49.261899,-16.678793
85,DimensaoSocial,49,2013,6,26,26,15,1,26,-49.26034,-16.679382
1,DimensaoAmbiental,11,2013,6,24,11,17,21,39,-49.263236,-16.679101
8,DimensaoAmbiental,6,2013,6,25,17,1,8,28,-49.261864,-16.679646
75,DimensaoAmbiental,19,2013,6,25,22,4,12,19,-49.261807,-16.6785
56,DimensaoSocial,45,2013,6,23,7,10,28,14,-49.261246,-16.679408
23,DimensaoAmbiental,21,2013,6,25,20,10,42,24,-49.260718,-16.677955
13,DimensaoAmbiental,11,2013,6,23,8,7,22,27,-49.26283,-16.677532
31,DimensaoSocial,41,2013,6,26,25,13,25,16,-49.262257,-16.679121
10,DimensaoAmbiental,16,2013,6,23,4,15,30,36,-49.264321,-16.678588
66,DimensaoSocial,34,2013,6,26,24,9,47,0,-49.261718,-16.679064
70,DimensaoAmbiental,14,2013,6,26,25,6,23,14,-49.260635,-16.679406
87,DimensaoSocial,59,2013,6,23,6,8,54,53,-49.26219,-16.678045
23,DimensaoAmbiental,21,2013,6,23,7,15,6,23,-49.260998,-16.678722
34,DimensaoAmbiental,15,2013,6,26,25,7,19,36,-49.260354,-16.679327
88,DimensaoAmbiental,4,2013,6,25,20,20,25,3,-49.26303,-16.679625
37,DimensaoAmbiental,10,2013,6,25,21,21,20,24,-49.261618,-16.678499
41,DimensaoSocial,49,2013,6,25,23,23,0,34,-49.263272,-16.679493
60,DimensaoSocial,25,2013,6,24,16,15,48,50,-49.261605,-16.677503
60,DimensaoSocial,25,2013,6,24,15,16,46,41,-49.263852,-16.678491
87,DimensaoSocial,59,2013,6,23,5,21,20,7,-49.26355,-16.677678
82,DimensaoSocial,54,2013,6,25,20,7,38,27,-49.262507,-16.678476
2,DimensaoSocial,55,2013,6,24,12,20,40,12,-49.260642,-16.678352
57,DimensaoAmbiental,10,2013,6,26,24,8,9,18,-49.262903,-16.678679
96,DimensaoSocial,42,2013,6,23,8,1,35,57,-49.262247,-16.678101
71,DimensaoSocial,38,2013,6,26,25,21,45,4,-49.261127,-16.679424
50,DimensaoSocial,35,2013,6,25,22,7,34,56,-49.261922,-16.677408
