@relation arquivo 
 
@attribute id_usuario numeric 
@attribute marcador {DimensaoAmbiental,DimensaoSocial} 
@attribute tipo_marcador numeric 
@attribute ano numeric 
@attribute mes numeric 
@attribute semana numeric 
@attribute dia numeric 
@attribute hora numeric 
@attribute minuto numeric 
@attribute segundo numeric 
@attribute coordenada_x numeric 
@attribute coordenada_y numeric 

@data 
97,DimensaoAmbiental,8,2013,6,25,19,7,47,7,-49.24676,-16.691929
72,DimensaoSocial,43,2013,6,25,21,4,38,57,-49.247335,-16.691639
73,DimensaoAmbiental,9,2013,6,23,8,19,57,11,-49.2471,-16.690593
22,DimensaoSocial,56,2013,6,23,5,12,29,53,-49.245777,-16.68994
4,DimensaoSocial,26,2013,6,23,3,9,41,37,-49.247777,-16.690393
16,DimensaoAmbiental,7,2013,6,25,20,6,45,48,-49.246805,-16.689588
37,DimensaoAmbiental,10,2013,6,25,19,3,46,55,-49.246833,-16.691411
96,DimensaoSocial,42,2013,6,24,14,14,24,20,-49.248331,-16.691029
30,DimensaoAmbiental,16,2013,6,22,2,15,12,49,-49.246632,-16.69091
82,DimensaoSocial,54,2013,6,26,26,3,30,52,-49.246319,-16.690906
42,DimensaoSocial,34,2013,6,24,10,20,34,4,-49.24849,-16.691595
90,DimensaoAmbiental,14,2013,6,25,18,7,41,46,-49.248078,-16.690565
57,DimensaoAmbiental,10,2013,6,24,11,19,19,28,-49.248299,-16.690824
82,DimensaoSocial,54,2013,6,26,25,3,56,51,-49.249483,-16.690833
42,DimensaoSocial,34,2013,6,26,27,17,50,6,-49.2474,-16.691542
73,DimensaoAmbiental,9,2013,6,25,20,17,38,11,-49.247746,-16.690887
60,DimensaoSocial,25,2013,6,24,16,20,5,49,-49.246136,-16.690767
93,DimensaoAmbiental,9,2013,6,26,24,13,46,53,-49.249078,-16.690631
28,DimensaoAmbiental,6,2013,6,24,10,15,39,6,-49.247393,-16.691419
88,DimensaoAmbiental,4,2013,6,26,25,6,29,37,-49.246898,-16.69076
13,DimensaoAmbiental,11,2013,6,25,20,10,26,6,-49.249662,-16.691048
57,DimensaoAmbiental,10,2013,6,24,12,19,2,37,-49.24948,-16.691092
57,DimensaoAmbiental,10,2013,6,24,11,2,48,1,-49.24846,-16.691132
93,DimensaoAmbiental,9,2013,6,24,13,21,17,30,-49.246195,-16.691071
24,DimensaoSocial,26,2013,6,26,25,13,11,34,-49.249061,-16.691283
75,DimensaoAmbiental,19,2013,6,25,22,4,24,15,-49.248895,-16.691362
26,DimensaoSocial,36,2013,6,26,25,17,22,50,-49.246119,-16.691554
24,DimensaoSocial,26,2013,6,25,22,0,1,16,-49.246346,-16.690177
43,DimensaoSocial,59,2013,6,25,18,14,47,58,-49.24692,-16.691852
96,DimensaoSocial,42,2013,6,24,14,1,15,3,-49.24933,-16.691333
84,DimensaoSocial,24,2013,6,26,29,2,56,49,-49.248948,-16.690527
49,DimensaoSocial,50,2013,6,24,14,5,49,12,-49.249508,-16.69029
84,DimensaoSocial,24,2013,6,25,21,17,28,29,-49.24606,-16.689965
98,DimensaoSocial,52,2013,6,23,7,13,46,57,-49.245804,-16.69156
89,DimensaoSocial,29,2013,6,22,2,12,18,46,-49.24617,-16.691132
79,DimensaoSocial,58,2013,6,22,2,20,11,29,-49.246387,-16.689875
41,DimensaoSocial,49,2013,6,25,23,20,37,15,-49.24535,-16.690361
11,DimensaoSocial,40,2013,6,26,25,11,53,39,-49.245445,-16.690696
29,DimensaoSocial,31,2013,6,24,12,4,34,15,-49.244683,-16.690644
23,DimensaoAmbiental,21,2013,6,23,8,10,1,39,-49.246796,-16.691815
26,DimensaoSocial,36,2013,6,24,15,14,38,57,-49.245212,-16.691222
1,DimensaoAmbiental,11,2013,6,26,28,23,7,38,-49.247521,-16.690322
84,DimensaoSocial,24,2013,6,25,21,18,47,6,-49.248223,-16.691519
83,DimensaoAmbiental,19,2013,6,23,8,18,57,11,-49.249408,-16.690514
46,DimensaoAmbiental,15,2013,6,24,15,1,46,20,-49.247314,-16.690425
19,DimensaoSocial,41,2013,6,26,25,15,38,35,-49.245752,-16.691611
41,DimensaoSocial,49,2013,6,25,23,3,39,35,-49.245582,-16.691445
67,DimensaoSocial,58,2013,6,25,23,22,1,22,-49.247302,-16.691257
67,DimensaoSocial,58,2013,6,22,2,22,38,5,-49.247612,-16.690311
1,DimensaoAmbiental,11,2013,6,23,6,20,31,21,-49.246049,-16.691302
60,DimensaoSocial,25,2013,6,26,28,6,26,24,-49.248405,-16.691652
33,DimensaoSocial,30,2013,6,26,28,23,2,51,-49.244558,-16.690601
30,DimensaoAmbiental,16,2013,6,25,21,16,31,56,-49.24864,-16.69032
14,DimensaoSocial,55,2013,6,25,20,23,24,29,-49.245736,-16.69155
77,DimensaoSocial,48,2013,6,24,14,7,36,46,-49.248896,-16.69026
1,DimensaoAmbiental,11,2013,6,22,1,2,32,50,-49.247774,-16.691286
2,DimensaoSocial,55,2013,6,26,24,8,3,3,-49.244885,-16.691241
63,DimensaoSocial,59,2013,6,25,20,18,26,55,-49.245838,-16.690684
92,DimensaoSocial,44,2013,6,26,28,22,54,1,-49.246739,-16.691417
84,DimensaoSocial,24,2013,6,25,22,14,38,16,-49.246513,-16.690793
39,DimensaoAmbiental,20,2013,6,25,21,21,9,23,-49.246095,-16.690119
62,DimensaoSocial,35,2013,6,24,11,0,52,6,-49.244582,-16.690794
13,DimensaoAmbiental,11,2013,6,22,2,14,28,5,-49.246562,-16.691731
