85,DimensaoSocial,49,2013,6,23,7,23,48,53,-49.232707,-16.687416,7 
15,DimensaoAmbiental,21,2013,6,24,10,20,37,16,-49.233378,-16.689055,4 
7,DimensaoAmbiental,1,2013,6,24,11,13,5,48,-49.23385,-16.688578,4 
94,DimensaoSocial,53,2013,6,26,24,12,45,22,-49.233453,-16.686828,5 
83,DimensaoAmbiental,19,2013,6,24,14,9,33,49,-49.233184,-16.6874,3 
84,DimensaoSocial,24,2013,6,23,5,11,57,53,-49.234414,-16.688,8 
69,DimensaoSocial,28,2013,6,24,15,12,7,8,-49.233063,-16.688921,3 
19,DimensaoSocial,41,2013,6,26,26,6,35,28,-49.235183,-16.688123,0 
43,DimensaoSocial,59,2013,6,23,5,13,52,0,-49.234423,-16.688782,8 
77,DimensaoSocial,48,2013,6,23,3,19,19,54,-49.234895,-16.687809,9 
53,DimensaoSocial,30,2013,6,24,15,19,44,47,-49.233093,-16.688751,3 
49,DimensaoSocial,50,2013,6,24,16,15,25,53,-49.236783,-16.687519,2 
53,DimensaoSocial,30,2013,6,24,10,15,31,41,-49.233646,-16.687894,4 
37,DimensaoAmbiental,10,2013,6,26,29,4,48,37,-49.235457,-16.687398,0 
96,DimensaoSocial,42,2013,6,23,5,0,47,44,-49.235649,-16.688598,8 
23,DimensaoAmbiental,21,2013,6,26,25,0,6,48,-49.234583,-16.689268,0 
75,DimensaoAmbiental,19,2013,6,24,11,7,6,47,-49.236536,-16.687616,4 
2,DimensaoSocial,55,2013,6,26,28,5,25,25,-49.23669,-16.687457,0 
13,DimensaoAmbiental,11,2013,6,26,27,4,12,25,-49.234782,-16.68885,0 
92,DimensaoSocial,44,2013,6,26,24,2,32,14,-49.23713,-16.687961,5 
83,DimensaoAmbiental,19,2013,6,26,28,13,35,50,-49.235027,-16.687085,0 
40,DimensaoSocial,25,2013,6,23,9,11,10,43,-49.2349,-16.687751,1 
2,DimensaoSocial,55,2013,6,23,4,6,3,9,-49.235753,-16.686836,9 
1,DimensaoAmbiental,11,2013,6,22,1,15,47,48,-49.23567,-16.688036,6 
4,DimensaoSocial,26,2013,6,25,19,9,27,36,-49.235448,-16.688362,2 
98,DimensaoSocial,52,2013,6,25,17,13,25,2,-49.237303,-16.687526,2 
81,DimensaoAmbiental,9,2013,6,24,10,13,43,2,-49.234763,-16.689205,4 
49,DimensaoSocial,50,2013,6,25,22,19,16,39,-49.235666,-16.687685,5 
