90,DimensaoAmbiental,14,2013,6,24,12,15,6,57,-49.266625,-16.680713,3 
26,DimensaoSocial,36,2013,6,24,15,23,31,46,-49.266438,-16.679348,6 
8,DimensaoAmbiental,6,2013,6,25,18,16,39,52,-49.264998,-16.680003,4 
79,DimensaoSocial,58,2013,6,23,9,6,49,38,-49.26481,-16.680586,7 
59,DimensaoAmbiental,20,2013,6,26,24,7,37,50,-49.263723,-16.679908,2 
53,DimensaoSocial,30,2013,6,26,25,1,35,53,-49.266872,-16.680124,2 
75,DimensaoAmbiental,19,2013,6,23,7,3,24,26,-49.265697,-16.680266,5 
18,DimensaoAmbiental,17,2013,6,23,6,21,28,29,-49.266959,-16.680948,5 
70,DimensaoAmbiental,14,2013,6,23,3,17,44,41,-49.266621,-16.680868,8 
87,DimensaoSocial,59,2013,6,23,4,23,44,5,-49.266323,-16.67945,8 
24,DimensaoSocial,26,2013,6,26,26,7,3,21,-49.267292,-16.680608,0 
85,DimensaoSocial,49,2013,6,23,4,5,26,14,-49.264808,-16.678931,8 
85,DimensaoSocial,49,2013,6,24,14,15,2,4,-49.267627,-16.679661,6 
81,DimensaoAmbiental,9,2013,6,24,15,11,13,14,-49.263965,-16.679413,6 
59,DimensaoAmbiental,20,2013,6,24,11,23,31,0,-49.266671,-16.678755,1 
87,DimensaoSocial,59,2013,6,26,25,22,59,54,-49.266409,-16.679538,2 
99,DimensaoAmbiental,18,2013,6,23,8,10,21,6,-49.263883,-16.680113,5 
51,DimensaoAmbiental,1,2013,6,26,24,7,45,45,-49.266597,-16.67927,2 
27,DimensaoAmbiental,2,2013,6,26,28,4,27,37,-49.266448,-16.678729,0 
34,DimensaoAmbiental,15,2013,6,26,24,12,32,24,-49.265768,-16.679752,2 
86,DimensaoSocial,34,2013,6,24,10,21,15,25,-49.267867,-16.680234,1 
92,DimensaoSocial,44,2013,6,25,21,0,53,37,-49.267895,-16.679902,4 
59,DimensaoAmbiental,20,2013,6,24,12,13,9,39,-49.263698,-16.680233,3 
